Result,Margin,BR,Toss,Bat,Opposition,Ground,Start Date
n/r,-,-,won,2nd,ODIvWestIndies,Providence,8Aug2019
won,59runs,-,won,1st,ODIvWestIndies,PortofSpain,11Aug2019
won,6wickets,15,lost,2nd,ODIvWestIndies,PortofSpain,14Aug2019
won,318runs,lost,1st,TestvWestIndies,North,Sound,22Aug2019
won,257runs,-,lost,1st,TestvWestIndies,Kingston,30Aug2019
won,7wickets,6,won,2nd,T20IvSouthAfrica,Mohali,18Sep2019
lost,9wickets,19,won,1st,T20IvSouthAfrica,Bengaluru,22Sep2019
won,203runs,-,won,1st,TestvSouthAfrica,Visakhapatnam,2Oct2019
won,inns&137runs,-,won,1st,TestvSouthAfrica,Pune,10Oct2019
won,inns&202runs,-,won,1st,TestvSouthAfrica,Ranchi,19Oct2019
lost,7wickets,3,lost,1st,T20IvBangladesh,Delhi,3Nov2019
won,8wickets,26,won,2nd,T20IvBangladesh,Rajkot,7Nov2019
won,30runs,-,lost,1st,T20IvBangladesh,Nagpur,10Nov2019
won,inns&130runs,-,lost,2nd,TestvBangladesh,Indore,14Nov2019
won,inns&46runs,-,lost,2nd,TestvBangladesh,Kolkata,22Nov2019
won,6wickets,8,won,2nd,T20IvWestIndies,Hyderabad(Deccan),6Dec2019
lost,8wickets,9,lost,1st,T20IvWestIndies,Thiruvananthapuram,8Dec2019
won,67runs,-,lost,1st,T20IvWestIndies,Mumbai,11Dec2019
lost,8wickets,13,lost,1st,ODIvWestIndies,Chennai,15Dec2019
won,107runs,-,lost,1st,ODIvWestIndies,Visakhapatnam,18Dec2019
won,4wickets,8,won,2nd,ODIvWestIndies,Cuttack,22Dec2019
n/r,-,-,won,-,T20IvSriLanka,Guwahati,5Jan2020
won,7wickets,15,won,2nd,T20IvSriLanka,Indore,7Jan2020
won,78runs,-,lost,1st,T20IvSriLanka,Pune,10Jan2020
lost,10wickets,74,lost,1st,ODIvAustralia,Mumbai,14Jan2020
won,36runs,-,lost,1st,ODIvAustralia,Rajkot,17Jan2020
won,7wickets,15,lost,2nd,ODIvAustralia,Bengaluru,19Jan2020
won,6wickets,6,won,2nd,T20IvNewZealand,Auckland,24Jan2020
won,7wickets,15,lost,2nd,T20IvNewZealand,Auckland,26Jan2020
tied,-,-,lost,1st,T20IvNewZealand,Hamilton,29Jan2020
tied,-,-,lost,1st,T20IvNewZealand,Wellington,31Jan2020
won,7runs,-,won,1st,T20IvNewZealand,MountMaunganui,2Feb2020
lost,4wickets,11,lost,1st,ODIvNewZealand,Hamilton,5Feb2020
lost,22runs,-,won,2nd,ODIvNewZealand,Auckland,8Feb2020
lost,5wickets,17,lost,1st,ODIvNewZealand,MountMaunganui,11Feb2020
lost,10wickets,-,lost,1st,TestvNewZealand,Wellington,21Feb2020
lost,7wickets,-,lost,1st,TestvNewZealand,Christchurch,29Feb2020
lost,66runs,-,lost,2nd,ODIvAustralia,Sydney,27Nov2020
lost,51runs,-,lost,2nd,ODIvAustralia,Sydney,29Nov2020
won,13runs,-,won,1st,ODIvAustralia,Canberra,2Dec2020
won,11runs,-,lost,1st,T20IvAustralia,Canberra,4Dec2020
won,6wickets,2,won,2nd,T20IvAustralia,Sydney,6Dec2020
lost,12runs,-,won,2nd,T20IvAustralia,Sydney,8Dec2020
lost,8wickets,-,won,1st,TestvAustralia,Adelaide,17Dec2020
won,8wickets,-,lost,2nd,TestvAustralia,Melbourne,26Dec2020
draw,-,-,lost,2nd,TestvAustralia,Sydney,7Jan2021
won,3wickets,-,lost,2nd,TestvAustralia,Brisbane,15Jan2021
lost,227runs,-,lost,2nd,TestvEngland,Chennai,5Feb2021
won,317runs,-,won,1st,TestvEngland,Chennai,13Feb2021
won,10wickets,-,lost,2nd,TestvEngland,Ahmedabad,24Feb2021
won,inns&25runs,-,lost,2nd,TestvEngland,Ahmedabad,4Mar2021
lost,8wickets,27,lost,1st,T20IvEngland,Ahmedabad,12Mar2021
won,7wickets,13,won,2nd,T20IvEngland,Ahmedabad,14Mar2021
lost,8wickets,10,lost,1st,T20IvEngland,Ahmedabad,16Mar2021
won,8runs,-,lost,1st,T20IvEngland,Ahmedabad,18Mar2021
won,36runs,-,lost,1st,T20IvEngland,Ahmedabad,20Mar2021
won,66runs,-,lost,1st,ODIvEngland,Pune,23Mar2021
lost,6wickets,39,lost,1st,ODIvEngland,Pune,26Mar2021
won,7runs,-,lost,1st,ODIvEngland,Pune,28Mar2021
lost,8wickets,-,lost,1st,TestvNewZealand,Southampton,18Jun2021
