Result,Margin,BR,Toss,Bat,Opposition,Ground,Start Date
won,102runs,-,lost,1st,ODIvWestIndies,PortofSpain,5Jul2013
won,81runs,-,lost,1st,ODIvSriLanka,PortofSpain,9Jul2013
won,1wickets,2,won,2nd,ODIvSriLanka,PortofSpain,11Jul2013
won,6wickets,31,won,2nd,ODIvZimbabwe,Harare,24Jul2013
won,58runs,-,lost,1st,ODIvZimbabwe,Harare,26Jul2013
won,7wickets,87,won,2nd,ODIvZimbabwe,Harare,28Jul2013
won,9wickets,115,won,2nd,ODIvZimbabwe,Bulawayo,1Aug2013
won,7wickets,96,won,2nd,ODIvZimbabwe,Bulawayo,3Aug2013
won,6wickets,2,won,2nd,T20IvAustralia,Rajkot,10Oct2013
lost,72runs,-,lost,2nd,ODIvAustralia,Pune,13Oct2013
won,9wickets,39,lost,2nd,ODIvAustralia,Jaipur,16Oct2013
lost,4wickets,3,lost,1st,ODIvAustralia,Mohali,19Oct2013
n/r,-,-,won,2nd,ODIvAustralia,Ranchi,23Oct2013
won,6wickets,3,won,2nd,ODIvAustralia,Nagpur,30Oct2013
won,57runs,-,lost,1st,ODIvAustralia,Bengaluru,2Nov2013
won,inns&51runs,-,lost,2nd,TestvWestIndies,Kolkata,6Nov2013
won,inns&126runs,-,won,2nd,TestvWestIndies,Mumbai,14Nov2013
won,6wickets,88,lost,2nd,ODIvWestIndies,Kochi,21Nov2013
lost,2wickets,3,lost,1st,ODIvWestIndies,Visakhapatnam,24Nov2013
won,5wickets,23,won,2nd,ODIvWestIndies,Kanpur,27Nov2013
lost,141runs,-,won,2nd,ODIvSouthAfrica,Johannesburg,5Dec2013
lost,134runs,-,won,2nd,ODIvSouthAfrica,Durban,8Dec2013
n/r,-,-,lost,2nd,ODIvSouthAfrica,Centurion,11Dec2013
draw,-,-,won,1st,TestvSouthAfrica,Johannesburg,18Dec2013
lost,10wickets,-,won,1st,TestvSouthAfrica,Durban,26Dec2013
lost,24runs,-,won,2nd,ODIvNewZealand,Napier,19Jan2014
lost,15runs,-,won,2nd,ODIvNewZealand,Hamilton,22Jan2014
tied,-,-,won,2nd,ODIvNewZealand,Auckland,25Jan2014
lost,7wickets,11,won,1st,ODIvNewZealand,Hamilton,28Jan2014
lost,87runs,-,won,2nd,ODIvNewZealand,Wellington,31Jan2014
lost,40runs,-,won,2nd,TestvNewZealand,Auckland,6Feb2014
draw,-,-,won,2nd,TestvNewZealand,Wellington,14Feb2014
won,6wickets,6,won,2nd,ODIvBangladesh,Fatullah,26Feb2014
